metric,hue
0%,#1a9850
1%,#1a9851
2%,#66bd63
3%,#66bd63
4%,#a6d96a
5%,#a6d96a
6%,#d9ef8b
7%,#fee08b
8%,#fdae61
9%,#f46d43
10%,#d73027
11%,#d73027
12%,#d73027
13%,#d73027
14%,#d73027
15%,#d73027
16%,#d73027
17%,#d73027
18%,#d73027
19%,#d73027
20%,#d73027
21%,#d73027
22%,#d73027
23%,#d73027
24%,#d73027
25%,#d73027
26%,#d73027
27%,#d73027
28%,#d73027
29%,#d73027
30%,#d73027
31%,#d73027
32%,#d73027
33%,#d73027
34%,#d73027
35%,#d73027
36%,#d73027
37%,#d73027
38%,#d73027
39%,#d73027
40%,#d73027
41%,#d73027
42%,#d73027
43%,#d73027
44%,#d73027
45%,#d73027
46%,#d73027
47%,#d73027
48%,#d73027
49%,#d73027
50%,#d73027
51%,#d73027
52%,#d73027
53%,#d73027
54%,#d73027
55%,#d73027
56%,#d73027
57%,#d73027
58%,#d73027
59%,#d73027
60%,#d73027
61%,#d73027
62%,#d73027
63%,#d73027
64%,#d73027
65%,#d73027
66%,#d73027
67%,#d73027
68%,#d73027
69%,#d73027
70%,#d73027
71%,#d73027
72%,#d73027
73%,#d73027
74%,#d73027
75%,#d73027
76%,#d73027
77%,#d73027
78%,#d73027
79%,#d73027
80%,#d73027
81%,#d73027
82%,#d73027
83%,#d73027
84%,#d73027
85%,#d73027
86%,#d73027
87%,#d73027
88%,#d73027
89%,#d73027
90%,#d73027
91%,#d73027
92%,#d73027
93%,#d73027
94%,#d73027
95%,#d73027
96%,#d73027
97%,#d73027
98%,#d73027
99%,#d73027
100%,#d73027
